entity_id,workspace_id,policy_family_id,policy_version_real,y,date_reference,decisao,historical_decision,score1,score2,x1,x2,x3,x4,x5,x6,x7,x8,w1,w2,z1,z2,z3,z4,indicador_potencial1,indicador_potencial2,credit_score,number_of_protests,recent_income_stability,debt_ratio,ticket_value,profit_value,defaulted,churned,segment
45,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240126,approve,approve,627,577,0,0,0,0,0,0,0,0,2,2,0,0,0,1,42.73,73.29,613,2,0.6653,0.1171,5697.42,233.3,0,0,near-prime
46,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240229,approve,approve,254,435,1,0,1,0,0,0,0,0,3,7,0,0,0,0,12.28,40.05,305,3,0.6018,0.8052,1200,-11.61,1,1,watchlist
47,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241214,approve,approve,490,593,0,0,0,0,0,0,0,0,1,4,0,0,0,0,56.95,40.91,519,1,0.9265,0.2942,3438.27,161.57,0,0,watchlist
48,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240907,approve,approve,720,626,0,0,0,1,0,0,0,0,2,1,0,0,0,0,50.74,48.56,694,2,0.8863,0.1563,4469.67,216.47,0,0,standard
49,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240717,approve,approve,483,633,1,0,0,0,0,0,0,0,2,4,0,0,0,0,48.22,40.77,525,2,0.7887,0.0533,4590.62,206.84,0,0,watchlist
50,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240805,approve,approve,564,545,0,1,0,0,0,0,0,0,2,3,0,0,0,0,61.61,43.51,559,2,0.7449,0.4039,3146.45,104.81,0,1,near-prime
51,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240702,approve,approve,507,519,0,0,0,0,0,0,0,0,1,5,0,0,0,0,54.25,55.79,510,1,0.8963,0.6675,5082.14,275.8,0,0,watchlist
52,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240412,approve,approve,505,408,0,0,0,0,0,0,0,0,6,6,0,0,0,0,47.65,70.28,478,6,0.8152,0.3095,4938.3,234.27,0,0,watchlist
53,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240302,approve,approve,506,531,0,0,0,0,0,0,0,0,1,2,0,0,0,0,29.73,88.39,513,1,0.9014,0.0844,4077.11,123.17,0,0,watchlist
54,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240522,approve,approve,557,481,0,1,0,0,0,0,0,0,2,1,0,0,0,0,26.43,88.38,536,2,0.856,0.1623,4037.77,120.33,0,0,watchlist
55,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241202,approve,approve,608,544,0,0,0,0,0,0,0,0,3,6,0,0,0,0,58.12,36.6,590,3,0.7956,0.1508,3819.67,111.75,0,0,near-prime
56,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241023,reject,reject,519,455,1,1,1,1,0,0,0,1,7,4,1,0,0,0,59.24,31.89,501,7,0.5914,0.7453,2154.53,0.0,0,0,watchlist
57,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241115,approve,approve,736,671,0,0,0,0,0,0,0,0,3,1,0,0,1,0,53.67,42.73,718,3,0.5478,0.1005,3855.91,179.1,0,0,standard
58,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240731,reject,reject,501,516,0,1,0,0,0,1,0,0,7,3,0,1,0,0,32.77,55.11,505,7,0.3938,0.4079,3140.84,0.0,0,0,watchlist
59,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240324,approve,approve,429,579,0,0,0,0,0,0,0,0,1,3,0,0,0,0,50.68,44.29,471,1,0.8676,0.4095,2505.54,122.75,0,0,watchlist
60,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240606,approve,approve,595,575,0,0,0,0,1,0,0,0,5,2,0,0,0,0,53.01,54.85,589,5,0.7796,0.3292,3517.36,174.93,0,0,near-prime
61,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240802,reject,reject,544,606,1,0,0,0,0,0,0,0,2,7,0,0,0,0,27.96,67.4,561,2,0.7581,0.3785,3327.72,0.0,0,0,near-prime
62,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240715,approve,approve,953,561,0,0,0,0,0,0,0,0,1,2,0,0,0,0,57.99,31.55,843,1,0.8786,0.3361,4701.67,182.15,0,0,prime
63,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240430,approve,approve,921,711,0,0,0,0,0,0,0,0,2,2,0,1,0,0,43.11,51.09,862,2,0.5999,0.2683,3983.66,132.24,0,0,prime
64,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240722,approve,approve,498,567,0,0,0,0,0,0,0,0,1,1,0,0,0,0,57.69,31.48,517,1,0.838,0.1493,5132.87,201.71,0,0,watchlist
65,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240625,approve,approve,610,613,0,0,0,0,0,0,0,0,3,2,0,0,0,0,52.32,43.06,611,3,0.7998,0.132,4865.81,227.33,0,0,near-prime
66,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240324,approve,approve,605,507,0,0,0,0,0,0,0,1,2,3,0,0,0,0,53.91,41.64,578,2,0.7343,0.265,3553.0,145.97,0,0,near-prime
67,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240711,approve,approve,368,458,0,0,0,0,0,0,0,0,3,2,0,0,1,0,39.75,57.33,393,3,0.7525,0.1063,4168.15,154.39,0,0,watchlist
68,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241119,approve,approve,711,603,0,0,0,0,0,0,0,0,2,3,0,0,0,0,35.73,75.35,681,2,0.5098,0.28,4387.88,127.59,0,0,standard
69,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240820,approve,approve,601,540,0,0,1,0,0,0,0,0,1,1,0,0,0,0,29.14,76.07,584,1,0.831,0.2824,1500,58.07,0,0,near-prime
70,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240723,approve,approve,560,668,0,0,0,0,0,0,0,0,1,10,0,0,0,0,48.53,41.42,590,1,0.6625,0.5973,5281.9,257.11,0,1,near-prime
71,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240409,approve,approve,376,447,0,0,0,0,0,0,0,0,2,6,0,0,0,0,50.78,40.33,396,2,0.5777,0.3745,4619.61,172.02,0,0,watchlist
72,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240414,approve,approve,264,442,0,0,0,0,0,0,0,0,1,1,0,0,0,0,57.17,28.68,314,1,0.6857,0.1585,5277.54,287.96,0,0,watchlist
73,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240910,approve,approve,832,753,0,0,0,0,0,0,0,0,2,3,0,0,0,0,41.9,65.04,810,2,0.8217,0.1611,4022.01,180.05,0,0,prime
74,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240520,reject,reject,151,292,0,1,0,1,0,0,0,0,4,10,0,0,0,0,19.93,31.69,190,4,0.3409,0.7335,2580.53,0.0,1,0,watchlist
75,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241027,approve,approve,761,586,0,0,0,0,0,0,0,0,1,5,0,0,0,0,57.2,59.11,712,1,0.8881,0.3288,3956.75,117.64,0,0,standard
76,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241007,reject,reject,689,651,0,1,1,0,0,1,1,0,2,5,0,0,0,0,53.72,30.23,678,2,0.3013,0.3397,3034.37,0.0,0,0,standard
77,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241126,approve,approve,651,602,0,0,0,0,0,0,0,0,1,2,0,0,0,0,49.72,54.31,637,1,0.8733,0.2045,5122.64,268.12,0,0,standard
78,credit-risk-lab,retail-lending-eligibility,v1.5,1,20241017,approve,approve,372,403,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,53.09,381,1,0.4525,0.4556,3028.11,9.32,1,1,watchlist
79,credit-risk-lab,retail-lending-eligibility,v1.5,1,20241018,reject,reject,378,433,1,0,0,0,1,0,1,0,2,5,0,1,1,0,23.87,27.21,393,2,0.397,0.9745,2976.11,0.0,1,0,watchlist
80,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240615,approve,approve,402,557,0,0,0,1,0,0,0,0,2,2,1,0,0,0,40.63,44.2,445,2,0.9595,0.2096,4819.65,210.13,0,0,watchlist
81,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241219,reject,reject,324,374,0,0,0,0,0,1,0,0,3,2,0,0,0,0,45.49,39.11,338,3,0.8395,0.4739,2563.25,0.0,0,0,watchlist
82,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240113,reject,reject,365,383,0,0,0,1,0,1,0,1,8,13,1,0,0,0,22.4,18.51,370,8,0.338,0.81,3485.02,0.0,1,0,watchlist
83,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241012,approve,approve,607,499,0,0,1,0,0,0,0,0,2,1,0,0,0,0,52.36,52.67,577,2,0.7777,0.1537,3496.37,166.17,0,1,near-prime
84,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240124,approve,approve,638,602,0,0,0,0,0,0,0,0,2,2,0,1,0,0,48.52,46.68,628,2,0.4135,0.1532,4264.36,154.33,0,0,standard
85,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240610,approve,approve,413,374,1,0,0,0,0,0,0,0,2,7,0,0,0,0,60.74,39.98,402,2,0.637,0.02,2776.22,143.02,0,0,watchlist
86,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240812,approve,approve,478,524,0,1,0,0,0,0,0,0,2,1,0,0,1,0,51.96,63.67,491,2,0.9102,0.1243,4003.73,179.89,0,0,watchlist
87,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240604,reject,reject,239,289,0,0,1,0,0,0,0,0,5,5,0,0,0,0,34.11,18.66,253,5,0.1941,0.7592,1955.96,0.0,1,1,watchlist
88,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240601,approve,approve,650,473,0,0,0,0,0,0,0,0,2,4,0,0,0,0,29.51,58.26,600,2,0.8266,0.4678,3463.66,179.13,0,0,near-prime
89,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240322,approve,approve,743,679,1,0,0,0,0,1,0,0,1,2,0,0,1,0,57.83,32.35,725,1,0.9024,0.2175,5871.47,279.37,0,0,prime
90,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241215,approve,approve,338,447,0,0,0,0,0,0,0,0,2,3,0,0,0,0,54.19,35.46,369,2,0.7048,0.2754,4076.55,156.79,0,0,watchlist
91,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240515,approve,approve,407,564,0,0,0,0,0,0,0,0,1,8,0,0,0,0,42.21,76.88,451,1,0.9158,0.0642,2549.52,73.86,0,0,watchlist
92,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240702,approve,approve,566,596,0,0,0,0,0,0,0,0,2,2,0,0,0,0,53.03,44.35,574,2,0.6834,0.3059,3814.62,190.16,0,0,near-prime
93,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240107,approve,approve,402,510,0,0,0,0,0,0,0,0,1,1,0,0,0,0,41.12,65.51,432,1,0.8295,0.127,5359.73,177.98,0,0,watchlist
94,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240317,approve,approve,446,469,0,0,1,1,0,0,0,0,6,12,0,0,0,0,19.28,42.49,452,6,0.2107,0.9131,1200,-30.47,1,0,watchlist
95,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240313,approve,approve,504,428,0,0,0,0,0,0,1,0,7,5,0,0,0,0,0.14,51.54,483,7,0.4077,0.5336,4529.54,-112.17,1,0,watchlist
96,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240628,approve,approve,567,460,0,0,0,0,0,0,1,0,1,1,0,0,0,0,54.87,44.58,537,1,0.7451,0.1761,4668.2,171.39,0,0,watchlist
97,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240410,approve,approve,665,429,0,0,0,0,0,0,0,0,1,7,0,0,0,0,71.67,23.27,599,1,0.7058,0.0586,5546.94,171.32,0,0,near-prime
98,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240911,approve,approve,452,469,0,0,0,0,0,0,0,1,3,1,1,0,0,0,57.92,44.81,457,3,0.7954,0.092,5187.03,259.21,0,0,watchlist
99,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240912,approve,approve,513,552,0,0,0,0,0,0,0,0,1,5,0,0,0,0,43.54,59.0,524,1,0.7785,0.1732,5527.45,242.18,0,0,watchlist
100,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240512,approve,approve,418,497,0,0,0,0,0,0,0,0,3,1,0,0,0,0,43.74,59.79,440,3,0.6541,0.1381,3815.32,139.99,0,0,watchlist
101,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240109,approve,approve,317,405,0,1,0,1,0,1,1,0,6,4,0,0,0,0,36.56,25.69,342,6,0.3081,0.4649,3098.82,-92.69,1,0,watchlist
102,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240129,approve,approve,857,622,0,0,0,0,0,0,0,0,1,3,1,0,0,1,33.56,71.66,791,1,0.7986,0.2579,3862.35,140.09,0,0,prime
103,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240202,approve,approve,644,638,0,0,0,0,0,0,1,0,2,1,0,0,0,0,34.8,61.48,642,2,0.9008,0.3792,3252.41,140.24,0,0,standard
104,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240329,approve,approve,654,564,0,0,0,0,0,0,0,0,4,1,0,0,0,0,50.06,64.32,629,4,0.9248,0.3054,3607.03,109.34,0,0,standard
105,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240204,approve,approve,255,472,0,0,1,0,0,0,1,1,11,6,0,0,0,0,24.34,28.57,316,11,0.344,0.7286,3088.26,-58.0,1,0,watchlist
106,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241226,approve,approve,423,476,0,0,0,0,0,0,0,0,1,6,0,0,0,0,64.58,33.16,438,1,0.7864,0.2288,4627.0,228.94,0,1,watchlist
107,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241210,approve,approve,594,589,0,0,0,0,0,0,0,0,1,1,0,1,0,0,59.32,44.99,593,1,0.7511,0.2926,4128.87,216.33,0,0,near-prime
108,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241129,approve,approve,787,681,0,0,0,0,0,0,0,0,1,3,0,0,0,0,55.37,45.71,757,1,0.6143,0.2108,4946.12,149.19,0,0,prime
109,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240710,reject,reject,587,554,0,0,0,0,0,0,0,0,6,7,0,0,1,0,21.46,56.21,578,6,0.5924,0.5914,2694.54,0.0,0,0,near-prime
110,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240505,approve,approve,495,534,0,0,0,0,0,0,0,0,3,1,0,0,1,0,40.78,72.49,506,3,0.819,0.2333,4067.32,139.39,0,1,watchlist
111,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240715,approve,approve,684,487,0,0,0,1,0,0,1,1,3,6,0,0,0,0,27.17,27.43,629,3,0.4902,0.8394,5253.4,-47.96,1,0,standard
112,credit-risk-lab,retail-lending-eligibility,v1.5,1,20241002,reject,reject,545,533,1,1,0,0,0,1,0,0,2,15,0,0,1,0,37.21,28.53,542,2,0.0744,0.5433,4252.94,0.0,1,0,near-prime
113,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240118,reject,reject,448,412,0,0,1,1,0,0,0,0,2,12,0,0,0,0,42.19,10.43,438,2,0.1183,0.8806,3335.8,0.0,1,0,watchlist
114,credit-risk-lab,retail-lending-eligibility,v1.5,1,20241119,approve,approve,597,497,0,0,0,0,0,1,0,0,1,13,0,0,0,0,43.28,31.8,569,1,0.1706,0.6754,5055.26,-14.58,1,0,near-prime
115,credit-risk-lab,retail-lending-eligibility,v1.5,1,20240714,approve,approve,298,434,0,0,1,0,0,0,0,0,9,10,0,0,0,0,23.95,33.52,336,9,0.6132,0.7273,3468.12,-104.7,1,0,watchlist
116,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240315,approve,approve,460,546,0,0,0,0,0,0,0,0,1,2,0,0,0,0,66.28,30.33,484,1,0.7742,0.3511,4907.13,185.32,0,0,watchlist
117,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240725,approve,approve,486,582,0,0,0,0,0,0,0,0,1,5,0,0,0,0,50.62,50.12,513,1,0.8784,0.2177,4007.43,186.29,0,0,watchlist
118,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240320,approve,approve,830,692,0,1,0,1,0,0,0,0,1,6,0,0,0,0,49.53,53.2,791,1,0.8201,0.3834,4568.6,169.02,0,0,prime
119,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240316,approve,approve,453,501,0,0,0,0,0,1,0,0,6,5,1,0,0,0,52.5,46.96,466,6,0.9203,0.1495,4236.56,137.86,0,0,watchlist
120,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240805,approve,approve,545,487,0,0,0,0,0,0,0,0,3,1,0,0,1,0,37.36,67.97,529,3,0.6005,0.3149,4097.68,141.77,0,0,watchlist
121,credit-risk-lab,retail-lending-eligibility,v1.5,0,20241206,approve,approve,688,545,0,0,0,0,0,0,0,0,4,4,0,0,0,0,43.37,66.86,648,4,0.9198,0.2604,3496.64,172.24,0,0,standard
122,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240703,approve,approve,658,415,1,0,0,0,0,0,0,0,1,3,0,0,0,0,22.04,94.13,590,1,0.5976,0.5299,4800.5,135.39,0,0,near-prime
123,credit-risk-lab,retail-lending-eligibility,v1.5,0,20240712,approve,approve,567,667,0,0,0,0,0,0,0,0,4,5,1,0,0,0,46.1,40.01,595,4,0.8362,0.4373,2473.11,133.94,0,0,near-prime
124,credit-risk-lab,retail-lending-eligibility,v1.5,1,20241013,approve,approve,388,436,0,0,1,0,0,0,0,0,4,9,1,0,0,0,53.17,29.72,401,4,0.3659,0.5967,2891.57,-69.11,1,1,watchlist
